Number,Jibun,Latitude,Longitude
222,충남 천안시 서북구 백석동 981,36.8289825, 127.1231481
222,충남 천안시 서북구 백석동 982,36.8289522, 127.1233221
222,충남 천안시 서북구 백석동 984,36.8288357, 127.1233905
222,충남 천안시 서북구 백석동 985,36.8286736, 127.1234193
222,충남 천안시 서북구 백석동 986,36.8284683, 127.1234320
222,충남 천안시 서북구 백석동 989,36.8281838, 127.1234334
222,충남 천안시 서북구 백석동 990,36.8279957, 127.1233499
222,충남 천안시 서북구 백석동 993,36.8278575, 127.1234123
222,충남 천안시 서북구 백석동 994,36.8276879, 127.1234223
222,충남 천안시 서북구 백석동 107-1,36.8274952, 127.1238166
222,충남 천안시 서북구 백석동 1151,36.8270642, 127.1234217
222,충남 천안시 서북구 백석동 1152,36.8269237, 127.1231085
222,충남 천안시 서북구 백석동 1153,36.8271039, 127.1231632
222,충남 천안시 서북구 백석동 1149,36.8272684, 127.1231373
222,충남 천안시 서북구 백석동 992,36.8278496, 127.1231073
222,충남 천안시 서북구 백석동 988,36.8282493, 127.1230445
222,충남 천안시 서북구 백석동 987,36.8284547, 127.1230864
222,충남 천안시 서북구 백석동 983,36.8288251, 127.1230723






223,충남 천안시 서북구 백석동 984, 
