업체명,주소
센트하임프라자,충남 천안시 서북구 1공단1길 52
센트하임프라자 주차장,충남 천안시 서북구 1공단1길 52
충남천안 센트하임프라자 전기차충전소,충남 천안시 서북구 1공단1길 52 지하 2층 주차장 A13번 기둥 우측
피플존 메가박스센트하임 지하2층(A9~A12라인),충남 천안시 서북구 1공단1길 52
메가박스 천안,충남 천안시 서북구 1공단1길 52 센트하임프라자 3층
이마트24 천안메가박스점,충남 천안시 서북구 1공단1길 52
북천안신협 두정지점,충남 천안시 서북구 1공단1길 52 151호
벚꽃회전초밥,"충남 천안시 서북구 1공단1길 52 센트하임프라자 1층 147,148호"
콩심 천안두정점,"충남 천안시 서북구 1공단1길 52 센트하임프라자 103,104호"
한국생산성본부,충남 천안시 서북구 1공단1길 52
금복주류 두정역점,충남 천안시 서북구 1공단1길 52 센트하임프라자 1층 130~132호
이디야커피 두정역점,충남 천안시 서북구 1공단1길 52 1층
리더스교육평가원 충남지사,충남 천안시 서북구 1공단1길 52 센트하임프라자
본정순대,충남 천안시 서북구 1공단1길 52
가장맛있는족발 천안메가박스점,"충남 천안시 서북구 1공단1길 52 센터하임프라자 1층 118,120,135호"
